name,group,epoch,country,sex,year_from,year_to,haplogroup,lat,lon,fasta_url
Pxevi,CAIB,Copper Age,Spain,U,-3354,-3090,J2a1,42.46523666381836,-7.035059928894043,/static_md5/data/fasta/Pxevi.fa
I0552,SMC,Neolithic,Germany,U,-3400,-3025,H5,51.52000427246094,11.852407455444336,/static_md5/data/fasta/I0552.fa
I0558,BAC,Neolithic,Germany,U,-3700,-3620,None,51.78333282470703,11.133333206176758,/static_md5/data/fasta/I0558.fa
I0800,SMC,Neolithic,Germany,U,-3334,-3262,H3,51.53305435180664,11.83305549621582,/static_md5/data/fasta/I0800.fa
Pv517,CAIB,Copper Age,Spain,U,-3354,-3090,K2b1,42.46523666381836,-7.035059928894043,/static_md5/data/fasta/Pv517.fa
JK2875,CLNE,Classical Age,Egypt,U,340,395,N,29.899999618530273,31.200000762939453,
I0798,SCG,Neolithic,Germany,U,-4172,-4089,H10e'f'g,51.53305435180664,11.83305549621582,/static_md5/data/fasta/I0798.fa
DA2,IASI,Iron Age,Russia,M,-898,-835,N1a1a1a1,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA2.fa
JK2878,CLNE,Classical Age,Egypt,M,-344,-126,T1a7,29.899999618530273,31.200000762939453,
I0802,SMC,Neolithic,Germany,U,-3400,-3025,H3,51.53305435180664,11.83305549621582,/static_md5/data/fasta/I0802.fa
I0016,HGE,Mesolithic,Sweden,U,-5898,-5531,U5a2,58.53499984741211,15.045999526977539,/static_md5/data/fasta/I0016.fa
DA3,IASI,Iron Age,Russia,F,-900,-600,N9a9,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA3.fa
I0428,YAM,Bronze Age,Russia,U,-3090,-2910,W6c,53.380001068115234,50.38999938964844,/static_md5/data/fasta/I0428.fa
I0027,LBK,Neolithic,Germany,U,-5500,-4800,H40,48.779998779296875,9.180000305175781,/static_md5/data/fasta/I0027.fa
I2450,BBC,Bronze Age,Great Britain,F,-2461,-2146,K1a1b1g,51.68000030517578,-1.2970000505447388,/static_md5/data/fasta/I2450.fa
I2416,BBC,Bronze Age,Great Britain,M,-2455,-2151,K1b1a1,51.15999984741211,-1.7699999809265137,/static_md5/data/fasta/I2416.fa
I6777,BBC,Bronze Age,Great Britain,M,-2500,-1900,U4b1b2,51.14705276489258,-1.8125289678573608,/static_md5/data/fasta/I6777.fa
I0023,LBK,Neolithic,Germany,U,-5500,-4800,H,48.779998779296875,9.180000305175781,/static_md5/data/fasta/I0023.fa
JK2880,CLNE,Classical Age,Egypt,M,-770,-567,T1a2,29.899999618530273,31.200000762939453,
I6778,BBC,Bronze Age,Great Britain,F,-2500,-1900,K1a26,51.14705276489258,-1.8125289678573608,/static_md5/data/fasta/I6778.fa
I1767,BBC,Bronze Age,Great Britain,M,-2200,-1979,U5a1a1,54.52281188964844,-1.3081339597702026,/static_md5/data/fasta/I1767.fa
I0019,LBK,Neolithic,Germany,U,-5500,-4800,HV6'17,48.779998779296875,9.180000305175781,/static_md5/data/fasta/I0019.fa
I0020,LBK,Neolithic,Germany,U,-5500,-4800,T2e,48.779998779296875,9.180000305175781,/static_md5/data/fasta/I0020.fa
DA4,IASI,Iron Age,Russia,M,-900,-600,H5a1+152,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA4.fa
DA5,IASI,Iron Age,Russia,M,-900,-600,W1c,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA5.fa
I2566,BBC,Bronze Age,Great Britain,M,-2204,-2035,K1b1a1,51.15999984741211,-1.7699999809265137,/static_md5/data/fasta/I2566.fa
I2598,BBC,Bronze Age,Great Britain,M,-2135,-1953,H,51.15999984741211,-1.7699999809265137,/static_md5/data/fasta/I2598.fa
JK2884,CLNE,Classical Age,Egypt,U,-158,-54,T1a5,29.899999618530273,31.200000762939453,
DA7,IASI,Iron Age,Russia,M,-900,-600,A8a1,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA7.fa
I2417,BBC,Bronze Age,Great Britain,M,-2500,-2140,J1c,51.15999984741211,-1.7699999809265137,/static_md5/data/fasta/I2417.fa
DA8,IASI,Iron Age,Russia,F,-900,-600,U2e1h,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA8.fa
DA9,IASI,Iron Age,Russia,F,-900,-600,F1b1b,54.67583465576172,90.8536148071289,/static_md5/data/fasta/DA9.fa
I5379,BBC,Bronze Age,Great Britain,M,-2469,-2296,HV0+195,50.91920471191406,-2.0154409408569336,/static_md5/data/fasta/I5379.fa
DA11,IAST,Iron Age,Kazakhstan,F,-766,-729,F1b1+@152,50.88833236694336,73.88027954101562,/static_md5/data/fasta/DA11.fa
JK2885,CLNE,Classical Age,Egypt,U,-1304,-1136,R2'JT,29.899999618530273,31.200000762939453,
DA10,IAST,Iron Age,Kazakhstan,F,-600,-400,C4a1a,49.12888717651367,72.913330078125,/static_md5/data/fasta/DA10.fa
DA13,IAST,Iron Age,Kazakhstan,M,-752,-682,A+152+16362+16189,49.060646057128906,75.5031967163086,/static_md5/data/fasta/DA13.fa
I6679,BBC,Bronze Age,Great Britain,M,-2124,-1890,J1c1b1,55.30998229980469,-1.553328037261963,/static_md5/data/fasta/I6679.fa
JK2887,CLNE,Classical Age,Egypt,M,-1388,-1311,J2a1a1,29.899999618530273,31.200000762939453,
JK2888,CLNE,Classical Age,Egypt,U,-97,-2,U6a2,29.899999618530273,31.200000762939453,
I5513,BBC,Bronze Age,Great Britain,M,-2500,-1800,V,51.220001220703125,-1.7699999809265137,/static_md5/data/fasta/I5513.fa
DA14,IAST,Iron Age,Kazakhstan,F,-753,-681,H101,49.12308883666992,75.18855285644531,/static_md5/data/fasta/DA14.fa
DA16,IAST,Iron Age,Kazakhstan,M,-750,-683,U2e1'2'3,48.488338470458984,74.42546844482422,/static_md5/data/fasta/DA16.fa
I5382,BBC,Bronze Age,Great Britain,M,-2278,-1981,T2b,54.52281188964844,-1.3081339597702026,/static_md5/data/fasta/I5382.fa
I2443,BBC,Bronze Age,Great Britain,F,-2284,-2028,T2c1d+152,51.795684814453125,-1.3198916912078857,/static_md5/data/fasta/I2443.fa
I2445,BBC,Bronze Age,Great Britain,M,-2396,-1929,X2b6,51.795684814453125,-1.3198916912078857,/static_md5/data/fasta/I2445.fa
I2446,BBC,Bronze Age,Great Britain,F,-2455,-2139,K1b1a1,51.795684814453125,-1.3198916912078857,/static_md5/data/fasta/I2446.fa
JK2890,CLNE,Classical Age,Egypt,U,-794,-671,I,29.899999618530273,31.200000762939453,
I5471,BBC,Bronze Age,Great Britain,F,-2266,-2025,H1c3a,55.94733810424805,-2.470720052719116,/static_md5/data/fasta/I5471.fa
DA20,IAST,Iron Age,Kazakhstan,M,-357,-342,C4a1a+195,51.63972091674805,74.67194366455078,/static_md5/data/fasta/DA20.fa
DA23,IAST,Middle Ages,Kazakhstan,M,1045,1095,F1b1b,52.692501068115234,62.647220611572266,/static_md5/data/fasta/DA23.fa
I7270,BBC,Copper Age,Czech Republic,F,-2500,-2200,K1a2c,50.189998626708984,14.157999992370605,/static_md5/data/fasta/I7270.fa
I4896,BBC,Copper Age,Czech Republic,F,-2288,-2142,U5a2+16294,50.0504150390625,14.366726875305176,/static_md5/data/fasta/I4896.fa
