name,group,epoch,country,sex,year_from,year_to,haplogroup,fasta_url
LHHEG18,LONG,Middle Ages,Hungary,U,500,600,U5b1b1+@16192,/static_md5/data/fasta/LHHEG18.fa
Kudruküla3,MEBL,Mesolithic,Estonia,U,-3950,-1850,U2e1,/static_md5/data/fasta/Kudruküla3.fa
I3808,MAIB,Middle Ages,Spain,F,1500,1600,H1,/static_md5/data/fasta/I3808.fa
LHHEG30,LONG,Middle Ages,Hungary,U,500,600,U8a1a2,/static_md5/data/fasta/LHHEG30.fa
GOK7,FBC,Neolithic,Sweden,F,-3050,-2750,None,/static_md5/data/fasta/GOK7.fa
LHHEG31B,LONG,Middle Ages,Hungary,U,500,600,None,
LHHEG60,LONG,Middle Ages,Hungary,U,500,600,U5a1b,/static_md5/data/fasta/LHHEG60.fa
LHHEG61,LONG,Middle Ages,Hungary,U,500,600,T,/static_md5/data/fasta/LHHEG61.fa
Naakamäe,MEBL,Mesolithic,Estonia,F,-2941,-2538,None,
I5079,CABA,Copper Age,Croatia,F,-3710,-3360,J1c2,/static_md5/data/fasta/I5079.fa
ARS024,LBAMo,Bronze Age,Mongolia,F,-1385,-1059,C4a1a1,
I7425,MAIB,Middle Ages,Spain,F,1500,1600,W6,/static_md5/data/fasta/I7425.fa
Ardu1,CWC,Neolithic,Estonia,M,-2850,-2050,T2a1a,/static_md5/data/fasta/Ardu1.fa
I4112,NEUk,Neolithic,Ukraine,M,-5500,-4800,U5a2a,/static_md5/data/fasta/I4112.fa
Ardu2,CWC,Neolithic,Estonia,M,-2921,-2555,U5b2c,/static_md5/data/fasta/Ardu2.fa
LHHEG2,LONG,Middle Ages,Hungary,U,500,600,HV1a2,/static_md5/data/fasta/LHHEG2.fa
Aes23,NESw,Neolithic,Switzerland,M,-2881,-2676,J2b1a,/static_md5/data/fasta/Aes23.fa
I5881,NEUk,Neolithic,Ukraine,M,-5218,-5059,U5a1b,/static_md5/data/fasta/I5881.fa
